ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500218;LLLFTK100712;;Magnolias 528;;;;-79.0376699;-8.12968151
19-2121500216;SSLLLFTK100761;;Los Nogales 224;;;;-79.04101885;-8.129825319
19-2121500211;LLLFTK300288;;CL. LOS COCOTEROS 130;;;;-79.03428738;-8.138053475
19-2121500201;LLLFTK101486;;PRADERAS DEL GOLF MZ.B-D LT.20;;;;-79.03454365;-8.131591263
19-2121500198;SSLLLFTK100762;;CA. LOS ALAMOS 426;;;;-79.04134496;-8.129507436
19-2121500197;LLLFTK300251;;AV. LAS PALMAS  MZ. E LOTE 20;;;1;-79.02937195;-8.1426828
19-2121500196;LLLFD051311;;CA. EL PALMAR 187;;;;-79.03461442;-8.140514501
19-2121500196;LLLFD051312;;CA. EL PALMAR 187;;;;-79.03461442;-8.140514501
19-2121500196;LLLFD051313;;CA. EL PALMAR 187;;;;-79.03461442;-8.140514501
19-2121500196;LLLFD051314;;CA. EL PALMAR 187;;;;-79.03461442;-8.140514501
19-2121500196;LLLFD051315;;CA. EL PALMAR 187;;;;-79.03461442;-8.140514501
19-2121500192;LLLFTK101481;;AV. CESAR VALLEJO MZ C LT 56;;;;-79.03486517;-8.132745216
19-2121500159;LLLFTK300262;;AV. LAS PALMAS MZ.6 LT 15;;;;-79.03005737;-8.143326927
19-2121500159;LLLFTK300263;;AV. LAS PALMAS MZ.6 LT 15;;;;-79.03005737;-8.143326927
19-2121500155;LLLFG0100114;;AV. FATIMA 645;;;;-79.03747176;-8.129050177
19-2121500154;LLLFTK100747;;CL. LOS LAURELES 587;;;;-79.03914111;-8.129093919
19-2121500146;SSLLLFTK100773;;CA. LAS CHIRAS 252;;;;-79.04204821;-8.130438151
19-2121500144;SSLLLFTK100723;;CA. LOS LAURELES 403;;;;-79.04081992;-8.13211494
19-2121500144;SSLLLFTK100724;;CA. LOS LAURELES 403;;;;-79.04081992;-8.13211494
19-2121500143;SSLLLFTK100174;;CA. LOS GRANADOS 207;;;;-79.0424089;-8.130942155
19-2121500142;LLLFD0501361;;AV. CESAR VALLEJO MZ C LT 51;;;;-79.03732388;-8.137229063
19-2121500142;LLLFD0501362;;AV. CESAR VALLEJO MZ C LT 51;;;;-79.03732388;-8.137229063
19-2121500134;SSLLLFTK100771;;CA. LOS GIRASOLES 126;;;;-79.04339402;-8.131724491
19-2121500119;LLTRG0101072;;CA. STO. TORIBIO DE MOGROVEJO 558 - 562;;;;-79.03678227;-8.119451848
19-2121500114;LLLFD0501341;;AV. HUAMAN MZ A LT 15 - URB. LAS FLORES;;;;-79.0364355;-8.137782336
19-2121500111;LLTRG0100866;;AV. COSTA RICA URB. MONSERRATE D2 2;;;;-79.02926023;-8.12381406
19-2121500097;LLLFG0100287;;URB. LOS ROSALES MZ U5 LT8;;;;-79.04211283;-8.124200145
19-2121500091;LLTRG0101041;;AV. SANTA TERESA DE JESUS  176;;;;-79.03487137;-8.121998053
19-2121500079;LLTRG0101011;;CL COLOMBIA 111;;;;-79.03080482;-8.11650484
19-2121500075;LLLFG0100252;;CA. JAIME GONDRA MZ.M3 LT.21;;;;-79.04475765;-8.118817816
19-2121500070;LLTRG0101084;;JR. MARTINES DE COMPAGNON  N°428;;;;-79.03669837;-8.116791018
19-2121500067;LLTRG0101071;;PJ. PIO XIII 247;;;;-79.03555014;-8.118041697
19-2121500057;SSLLLFTK100711;;Las Acacias 686;;;;-79.03798473;-8.131359769
19-2121500056;LLTRG0100972;;PROLG.CUBA MZ. H LT. 11 URB. MONSERRATE;;;;-79.03112436;-8.121401006
19-2121500053;LLLFD051352;;AV. EL GOLF 40 - A 8;;;;-79.03596008;-8.136993529
19-2121500043;LLLFG0100288;;CA.LOS PISTILOS 457-459;;;;-79.04231652;-8.12340864
19-2121500035;LLTRG0100881;;AV. COSTA RICA MZ N LT 1;;;;-79.02945879;-8.123148367
19-2121500034;LLLFTK100714;;CA. LAS MAGNOLIAS 258;;;;-79.03848691;-8.132325198
19-2121500034;LLLFTK100715;;CA. LAS MAGNOLIAS 258;;;;-79.03848691;-8.132325198
19-2121500031;LLLFTK100871;;URB. LAS HORTENCIAS DE CALIFORNIA;;;;-79.03827338;-8.135948937
19-2121500031;LLLFTK100872;;URB. LAS HORTENCIAS DE CALIFORNIA;;;;-79.03827338;-8.135948937
19-2121500026;LLTRG0101031;;CA. PUERTO RICO 212;;;;-79.03075018;-8.119088202
19-2121500021;LLLFTK100874;;URB. LAS HORTENCIAS DE CALIFORNIA MZ C;;;;-79.03873806;-8.136718968
19-2121500021;LLLFTK100875;;URB. LAS HORTENCIAS DE CALIFORNIA MZ C;;;;-79.03873806;-8.136718968
19-2121500016;LLLFTK101454;;GALENO MZ. E LT. 5-1;;;;-79.02950483;-8.129962353
19-2121500015;SSLLTRTK102361;;Av. America Oeste 10 - TORRE UPAO;;;14;-79.04669415;-8.114427414
19-2121500015;SSLLTRTK102362;;Av. America Oeste 10 - TORRE UPAO;;;12;-79.04669415;-8.114427414
19-2121500015;SSLLTRTK102363;;Av. America Oeste 10 - TORRE UPAO;;;10;-79.04669415;-8.114427414
19-2121500015;SSLLTRTK102364;;Av. America Oeste 10 - TORRE UPAO;;;7;-79.04669415;-8.114427414
19-2121500015;SSLLTRTK102365;;Av. America Oeste 10 - TORRE UPAO;;;3;-79.04669415;-8.114427414
19-2121500014;CTOMAG02017-31;;SAN FELIPE 150 - TORRE B;;;19;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-32;;SAN FELIPE 150 - TORRE B;;;16;-77.05776016;-12.08139445
19-2121500014;CTOMAG02017-33;;SAN FELIPE 150 - TORRE B;;;14;-77.05776016;-12.08139445
